Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-01-08,Transferência,Gestor Contábil,1 (um),DAS-5,Secretaria de Recursos Hídricos e de Saneamento,Secretaria da Casa Civil,Gestor de Apoio às Relações Institucionais
2026-01-08,Transferência,Superintendente de Patrimônio do Hospital Regional do Agreste,1 (um),DAS-3,Secretaria de Saúde,Secretaria da Casa Civil,Assessor Especial de Coordenação Estratégica
2026-01-08,Transferência,Chefe do Núcleo de Laboratório de Informática da Escola de Referência em Ensino Médio,39 (trinta e nove),CAA-4,Secretaria de Educação,Secretaria da Mulher,Auxiliar Técnico
2026-01-08,Transferência,Assistente de Coordenação de Projetos Prioritários,1 (um),CAA-4,Secretaria de Educação,Secretaria da Mulher,Auxiliar Técnico
2026-01-08,Transferência,Assistente de Gabinete,1 (um),CAA-4,Secretaria de Educação,Secretaria da Mulher,Auxiliar Técnico
2026-01-16,Alocação,-,2 (dois),-,-,Secretaria da Casa Civil,-
2026-01-16,Alocação,-,3 (três),-,-,Secretaria da Casa Civil,-
2026-01-16,Redenominação,Superintendente de Monitoramento,1 (um),DAS-3,-,-,Assessor Especial de Coordenação Estratégica
2026-01-16,Redenominação,Superintendente de Apoio Técnico,1 (um),DAS-3,-,-,Assessor Especial de Coordenação Estratégica
2026-01-16,Alocação,Assessor,1 (um),CAA-2,-,Secretaria de Educação,-
2026-01-16,Transferência,Assistente Técnico do Programa Estadual de Transporte Escolar,1 (um),CAA-3,Secretaria de Educação,Secretaria da Casa Civil,Assistente Técnico
2026-01-16,Transferência,Chefe do Núcleo Socioeducacional da Escola de Referência em Ensino Médio,10 (dez),CAA-4,Secretaria de Educação,Secretaria da Mulher,Auxiliar Técnico
2026-01-16,Transferência,Assessor de Articulação da Educação Integral e Profi ssional,1 (um),CAA-1,Secretaria de Educação,Secretaria da Casa Civil,Assessor Técnico
2026-01-16,Redenominação,Gestor de CASE,1 (um),DAS-5,-,-,Gestor de CENIP
2026-01-16,Redenominação,Superintendente Técnico,1 (um),DAS-3,-,-,Superintendente Jurídico
2026-01-16,Redenominação,Gerente Jurídico de Apoio à Procuradoria Geral do Estado,1 (um),DAS-4,-,-,Gerente de Comunicação
2026-01-16,Redenominação,Assessor de Comunicação,1 (um),CAA-1,-,-,Coordenador Técnico de Infraestrutura e Transportes
2026-01-16,Redenominação,Coordenador de Infraestrutura,1 (um),CAA-2,-,-,Assessora do Gabinete
2026-01-16,Redenominação,Secretária de Gabinete,1 (um),CAA-3,-,-,Assistente Técnico Jurídico
2026-01-17,Transferência,Assessor Especial,1 (um),DAS-1,"Gabinete da Governadora,",Secretaria de Saúde,-
2026-01-21,Alocação,Assessor Técnico,1 (um),CAA-1,-,Secretaria de Assistência Social,-
2026-01-21,Transferência,Assessor do CONSEA,1 (um),CAA-2,"Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas,",Secretaria da Casa Civil,Assessor
2026-01-22,Redenominação,Assessor Técnico da Comissão de Acompanhamento Interno dos Contratos de Gestão - CTAI,1 (um),CAA-2,-,-,Assessor
2026-01-31,Redenominação,Assessor Especial,1 (um),DAS-1,-,-,Secretário Executivo de Administração
2026-01-31,Alocação,Gestor de Articulação Governamental,1 (um),DAS-5,-,Secretaria da Casa Civil,-
2026-01-31,Redenominação,Assessor Especial,1 (um),DAS-2,-,-,Assessor Especial de Relações Institucionais
2026-01-31,Redenominação,Gestor de Apoio Técnico,1 (um),DAS-5,-,-,Gestor de Articulação Governamental
2026-01-31,Transferência,Assessor Técnico,1 (um),CAA-1,Secretaria da Casa Civil,Secretaria de Justiça,Coordenador
2026-01-31,Transferência,Assessor do PROCON,1 (um),CAA-2,"Secretaria de Justiça, Direitos Humanos e Prevenção à Violência",Secretaria da Casa Civil,Assessor
2026-01-31,Transferência,Assistente Técnico,1 (um),CAA-3,Secretaria da Casa Civil,Secretaria de Turismo e Lazer,Assistente da Arena de Pernambuco
2026-01-31,Alocação,Secretário Executivo de Promoção dos Direitos da Pessoa com Deficiência,1 (um),DAS-1,-,Secretaria de Justiça,-
2026-01-31,Transferência,Gestor de Apoio à Secretaria Executiva de Gestão da Fazenda,1 (um),DAS-5,Secretaria da Fazenda,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-01-31,Transferência,Chefe do Núcleo de Monitoramento e Organização da Rede Escolar,3 (três),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-01-31,Transferência,Coordenador de Apoio Administrativo,1 (um),CAA-2,Gabinete da Governadora,Secretaria da Casa Civil,Assessor
2026-01-31,Redenominação,Gestor Técnico de Logística,1 (um),DAS-5,-,-,Gestor Técnico Contábil
2026-01-31,Alocação,Gestor do Cinema São Luiz,1 (um),DAS-5,-,Fundação do Patrimônio Histórico e Artístico de Pernambuco – FUNDARPE,-
2026-01-31,Redenominação,Coordenador do Cinema São Luiz,1 (um),CAA-1,-,-,Assessor Técnico
2026-02-04,Alocação,Assessor Especial de Articulação e Acompanhamento,1 (um),DAS-4,-,Secretaria da Casa Civil,-
2026-02-04,Alocação,Assessor,1 (um),CAA-2,-,Secretaria da Casa Civil,-
2026-02-07,Alocação,Assessor Técnico,1 (um),CAA-1,-,Secretaria da Casa Civil,-
2026-02-10,Alocação,-,3 (três),-,-,Secretaria da Casa Civil,-
2026-02-13,Alocação,Superintendente de Regulação,1 (um),DAS-3,-,Secretaria de Projetos Estratégicos,-
2026-02-21,Transferência,Gestor Técnico,1 (um),DAS-5,"Departamento de Estradas de Rodagem do Estado de Pernambuco - DER,",Secretaria da Casa Civil,-
2026-02-28,Alocação,Gerente Geral de Promoção dos Direitos da Pessoa com Deficiência,1 (um),DAS-2,-,Secretaria de Justiça,-
2026-02-28,Transferência,Gestor de Apoio à Pessoa com Deficiência,1 (um),DAS-5,"Secretaria de Justiça, Direitos Humanos e Prevenção à Violência,",Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-02-28,Redenominação,Gerente de Acompanhamento Contábil Financeiro dos Contratos de Gestão,1 (um),DAS-4,-,-,Gerente Técnico
2026-02-28,Alocação,-,2 (dois),-,-,Secretaria de Comunicação,-
2026-03-05,Transferência,Assistente Técnico SEASS,2 (dois),CAA-3,"Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas",Secretaria da Casa Civil,Assistente Técnico
2026-03-12,Redenominação,Gestor de Apoio Técnico,1 (um),DAS-5,-,-,Gestor de Articulação Governamental
2026-03-12,Alocação,Secretário Executivo de Infraestrutura das Concessões de Saneamento,1 (um),DAS-1,-,Secretaria de Recursos Hídricos e Saneamento,-
2026-03-17,Alocação,Diretor de Saneamento,1 (um),DAS-2,-,Agência de Regulação dos Serviços Públicos Delegados do Estado de Pernambuco - ARPE,-
2026-03-17,Redenominação,Assistente Técnica de Gabinete,1 (um),CAA-3,-,-,Assistente Técnica de Ouvidoria
2026-03-19,Redenominação,Assessor do Programa Criança Feliz,1 (um),CAA-2,-,-,Coordenador de Gestão Estratégica e Monitoramento
2026-03-19,Transferência,Assistente Técnico SEASS,1 (um),CAA-3,"Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas",Secretaria da Casa Civil,Assistente Técnico
2026-03-19,Transferência,Chefe do Núcleo de Monitoramento e Organização da Rede Escolar,1 (um),CAA-4,Secretaria de Educação,Secretaria de Administração,Auxiliar Técnico
2026-03-20,Transferência,Chefe do Núcleo de Laboratório de Ciências da Escola de Referência em Ensino Médio,12 (doze),CAA-4,Secretaria de Educação,Secretaria de Saúde,Auxiliar Operacional
2026-03-21,Alocação,Gerente Técnico,1 (um),DAS-4,-,Secretaria de Mobilidade e Infraestrutura,-
2026-03-21,Alocação,Gerente Geral de Relações Internacionais,1 (um),DAS-2,-,Secretaria da Assessoria Especial à Governadora e Relações Internacionais,-
2026-03-21,Transferência,Chefe do Núcleo de Monitoramento e Organização da Rede Escolar,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Técnico
2026-03-21,Redenominação,Gerente de Tecnologia Educacional,1 (um),DAS-4,-,-,Gerente de Projetos e Governança de TI
2026-03-27,Alocação,Gerente de Apoio Técnico,1 (um),DAS-4,-,Secretaria da Casa Civil,-
2026-03-27,Alocação,Gestor de Articulação Governamental,1 (um),DAS-5,-,Secretaria da Casa Civil,-
2026-03-27,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Administração,Secretaria de Desenvolvimento Profi ssional e Empreendedorismo,-
2026-03-27,Transferência,Assessor Técnico de Gestão Estratégica,1 (um),CAA-2,"Secretaria de Planejamento, Gestão e Desenvolvimento Regional",Agência Estadual de Planejamento e Pesquisas de Pernambuco - CONDEPE/FIDEM,Coordenador de Execução Financeira
2026-03-27,Redenominação,Superintendente de Patrimônio,1,DAS-3,-,-,Superintendente de Patrimônio Imaterial
2026-04-07,Alocação,Assessor Especial,1 (um),DAS-2,-,Gabinete da Governadora,-
2026-04-07,Alocação,-,4 (quatro),-,-,Secretaria da Casa Civil,-
2026-04-07,Redenominação,Gerente Geral de Articulação,1 (um),DAS-2,-,-,Assessor Especial
2026-04-07,Redenominação,Gerente Geral de Coordenação Institucional,1 (um),DAS-2,-,-,Assessor Especial
2026-04-07,Transferência,Assessor Técnico de Contratos de Gestão,1 (um),CAA-2,Secretaria de Saúde,Secretaria de Assistência Social,Coordenador de Vigilância em Segurança Alimentar e Nutricional
